quarta,Inicio,Entrega,s-b,s-r,"R$ 22-26","22-33 min"
quarta,Inicio,Buscar,s-b,s-r,"R$ 22-26","22-33 min"
quarta,Inicio,Entrega,s-b,s-r,"R$ 22-26","22-33 min"
quarta,Inicio,Entrega,s-b,s-r,"R$ 26-30","33-44 min"
quarta,Inicio,Entrega,s-b,s-r,"R$ 34-38","33-44 min"
quarta,Inicio,Entrega,s-b,s-r,"R$ 22-26","22-33 min"
quarta,Inicio,Entrega,s-b,c-r,"R$ 30-34","33-44 min"
quarta,Inicio,Entrega,s-b,s-r,"R$ 30-34","44-55 min"
quarta,Inicio,Entrega,s-b,s-r,"R$ 22-26","33-44 min"
quarta,Inicio,Entrega,s-b,c-r,"R$ 34-38","44-55 min"
quarta,Inicio,Entrega,s-b,s-r,"R$ 26-30","44-55 min"
quarta,Pico,Entrega,c-b,s-r,"R$ 30-34","44-55 min"
quarta,Pico,Buscar,s-b,s-r,"R$ 18-22","22-33 min"
quarta,Pico,Entrega,s-b,s-r,"R$ 26-30","22-33 min"
quarta,Final,Entrega,s-b,c-r,"R$ 38-42","22-33 min"
quarta,Final,Entrega,s-b,s-r,"R$ 22-26","10-22 min"
quinta,Inicio,Buscar,s-b,s-r,"R$ 18-22","33-44 min"
quinta,Inicio,Entrega,s-b,s-r,"R$ 14-18","33-44 min"
quinta,Pico,Buscar,s-b,s-r,"R$ 14-18","33-44 min"
quinta,Pico,Buscar,s-b,s-r,"R$ 10-14","22-33 min"
quinta,Pico,Entrega,s-b,s-r,"R$ 22-26","44-55 min"
quinta,Final,Entrega,s-b,s-r,"R$ 30-34","33-44 min"
sexta,Final,Buscar,s-b,s-r,"R$ 26-30","33-44 min"
sexta,Inicio,Entrega,s-b,s-r,"R$ 34-38","33-44 min"
sexta,Inicio,Entrega,s-b,s-r,"R$ 22-26","22-33 min"
sexta,Inicio,Entrega,s-b,s-r,"R$ 18-22","33-44 min"
sexta,Inicio,Buscar,s-b,s-r,"R$ 30-34","33-44 min"
sexta,Inicio,Buscar,s-b,s-r,"R$ 10-14","33-44 min"
sexta,Inicio,Entrega,s-b,s-r,"R$ 34-38","44-55 min"
sexta,Pico,Buscar,s-b,s-r,"R$ 30-34","44-55 min"
sexta,Pico,Entrega,s-b,s-r,"R$ 22-26","44-55 min"
sexta,Pico,Entrega,s-b,s-r,"R$ 26-30","44-55 min"
sexta,Pico,Entrega,s-b,s-r,"R$ 30-34","33-44 min"
sexta,Pico,Entrega,s-b,s-r,"R$ 18-22","33-44 min"
sexta,Pico,Buscar,s-b,s-r,"R$ 10-14","33-44 min"
sexta,Pico,Entrega,s-b,s-r,"R$ 14-18","10-22 min"
sexta,Final,Buscar,s-b,s-r,"R$ 10-14","22-33 min"
sábado,Inicio,Buscar,s-b,s-r,"R$ 18-22","44-55 min"
sábado,Inicio,Buscar,s-b,s-r,"R$ 14-18","22-33 min"
sábado,Inicio,Buscar,s-b,s-r,"R$ 22-26","44-55 min"
sábado,Inicio,Buscar,s-b,s-r,"R$ 30-34","33-44 min"
sábado,Inicio,Buscar,s-b,s-r,"R$ 26-30","33-44 min"
sábado,Inicio,Entrega,s-b,s-r,"R$ 30-34","22-33 min"
sábado,Inicio,Buscar,s-b,s-r,"R$ 18-22","10-22 min"
sábado,Inicio,Entrega,s-b,s-r,"R$ 22-26","33-44 min"
sábado,Inicio,Entrega,s-b,s-r,"R$ 22-26","44-55 min"
